time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
85,0.812,2.217,0.026,-0.018,-0.002,-0.002,-0.004,0.062788648,0
86,0.859,0.624,-0.606,0.021,0.025,0.035,-0.001,0.062788648,0
87,0.988,0.566,0.152,-0.029,-0.017,-0.029,-0.003,0.062788648,0
88,1.527,2.153,-2.153,0.039,0.034,0.025,-0.001,0.062788648,0
89,0.956,2.029,0.95,-0.04,-0.031,-0.013,-0.001,0.062788648,0
90,2.075,1.488,0.739,0.002,-0.002,0.022,0,0.062788648,0
91,0.772,-0.218,-0.478,0.017,0.007,0.027,-0.001,0.062788648,0
92,1.832,0.358,-1.019,-0.01,-0.006,0.001,0.006,0.062788648,0
93,1.34,1.703,0.283,0.045,0.032,0.056,0.005,0.062788648,0
94,1.464,1.011,-0.617,0.04,0.035,0.035,0.008,0.062788648,0
95,-0.537,1.854,-1.183,0.033,0.035,0.053,0.014,0.062788648,0
96,0.88,1.608,-0.517,0.07,0.054,0.039,-0.002,0.062788648,0
97,-0.052,0.345,-0.392,0.053,0.033,0.038,-0.005,0.064136043,0
98,-1.117,4.036,0.523,0.109,-0.109,-0.033,0.075,0.064136043,0
99,-3.267,1.101,-2.049,0.02,0.001,-0.116,0.071,0.064136043,0
100,0.939,-4.637,-1.671,-0.009,0.011,0.064,0.066,0.064136043,0
101,-0.217,-2.554,-1.003,-0.093,-0.034,-0.067,0.067,0.064136043,0
102,0.617,5.699,1.24,-0.071,0.032,-0.027,0.069,0.064136043,0
103,0.112,-2.411,3.372,-0.039,-0.173,-0.075,0.06,0.064136043,0
104,-0.175,1.745,-0.85,-0.018,-0.263,-0.221,0.05,0.064136043,0
105,1.775,6.847,-2.254,-0.099,-0.041,-0.182,0.056,0.064136043,0
106,1.302,0.919,-3.005,0.022,0.089,0.22,0.043,0.064136043,0
107,2.658,-0.961,-1.344,0.115,0.028,0.097,0.039,0.064136043,0
108,2.822,8.896,-0.154,0.054,0.013,-0.115,0.029,0.064136043,0
109,2.503,-1.715,2.916,0.011,0.093,0.046,0.038,0.064136043,0
110,1.068,-2.791,2.118,0.015,-0.071,0.005,0.031,0.064136043,0
111,3.117,1.548,-0.548,-0.013,-0.008,-0.111,0.034,0.064136043,0
112,3.203,3.136,-3.925,-0.022,0.052,-0.032,0.04,0.064136043,0
113,6.503,1.308,-0.965,0.013,0.049,0.089,0.039,0.064136043,0
114,2.716,3.819,-2.367,-0.006,-0.078,-0.075,0.042,0.064136043,0
115,3.025,9.236,1.668,0.009,0.057,-0.102,0.043,0.064136043,0
116,2.068,0.612,4.248,0.103,0.021,0.103,0.05,0.064136043,0
117,-2.322,1.623,1.472,0.044,0.057,0.141,0.055,0.064136043,0
118,0.684,1.585,-1.74,0.001,0.048,-0.068,0.048,0.064136043,0
119,0.454,-0.638,-3.243,0.071,0.029,0.032,0.053,0.064136043,0
120,0.597,-0.533,-1.401,0.04,-0.161,-0.093,0.052,0.064136043,0
121,0.77,3.985,1.377,0.073,0.098,-0.041,0.082,0.064136043,0
122,2.217,-4.213,3.988,-0.005,0.08,0.153,0.061,0.064136043,0
123,1.457,-1.407,2.997,-0.124,-0.089,0.043,0.067,0.064136043,0
124,2.922,2.764,-1.639,-0.024,-0.028,-0.125,0.054,0.064136043,0
125,1.905,3.316,-3.133,-0.011,0.051,0.037,0.058,0.064136043,0
126,5.203,-3.246,-1.843,-0.015,-0.179,-0.084,0.07,0.064136043,0
127,3.052,7.749,0.212,-0.064,-0.081,-0.138,0.068,0.064136043,0
128,3.193,3.982,4.206,-0.092,0.041,0.084,0.062,0.064136043,0
129,0.393,-2.653,3.859,-0.023,-0.175,0.026,0.063,0.064136043,0
130,1.801,-1.138,1.151,-0.079,-0.168,-0.159,0.061,0.064136043,0
131,0.18,4.078,-2.096,-0.077,-0.039,-0.156,0.075,0.064136043,0
132,4.07,-0.191,0.014,-0.086,-0.06,-0.09,0.064,0.064136043,0
133,1.573,3.096,-0.905,-0.133,-0.107,-0.152,0.065,0.064136043,0
134,1.633,7.635,2.719,-0.02,-0.04,-0.013,0.061,0.064136043,0
135,-0.122,1.097,4.51,0.017,-0.004,0.014,0.055,0.064136043,0
136,0.4,0.342,3.783,-0.147,-0.144,-0.139,0.069,0.064136043,0
137,0.493,1.522,0.049,-0.062,-0.009,-0.061,0.063,0.064136043,0
138,0.407,-0.338,0.097,-0.014,0.042,0.04,0.063,0.064136043,0
139,1.843,-1.893,-2.19,-0.036,-0.108,0.024,0.058,0.064136043,0
140,1.518,1.218,0.65,-0.027,-0.119,-0.147,0.062,0.064136043,0
141,0.363,0.49,4.07,-0.056,-0.027,-0.052,0.069,0.064136043,0
142,0.335,0.887,3.637,-0.087,-0.042,-0.002,0.075,0.064136043,0
143,1.793,1.782,-0.517,-0.039,-0.031,-0.096,0.066,0.064136043,0
144,2.148,2.855,-0.623,-0.073,0.008,-0.033,0.063,0.064136043,0
145,2.985,-0.392,-1.828,0.003,-0.085,0.007,0.066,0.064136043,0
146,3.673,3.142,-0.516,0.025,-0.051,-0.088,0.058,0.064136043,0
147,3,6.895,2.706,-0.001,0.067,-0.007,0.063,0.064136043,0
148,1.848,-0.148,5.35,0.116,0.05,0.148,0.07,0.064136043,0
149,-0.349,1.351,1.869,0.043,0.059,0.074,0.07,0.064136043,0
150,2.785,3.977,-0.067,0.031,0.106,0.042,0.06,0.064136043,0
151,1.949,0.095,-1.953,0.083,0.071,0.094,0.059,0.064136043,0
152,2.987,0.752,-2.188,0.029,-0.015,-0.042,0.054,0.064136043,0
153,1.932,6.679,1.892,-0.04,0.006,-0.06,0.05,0.064136043,0
154,1.787,0.361,2.866,0.048,-0.061,-0.019,0.047,0.064136043,0
155,0.624,1.028,1.655,0.026,-0.031,0.039,0.049,0.064136043,0
156,2.645,1.908,1.081,0.098,0.095,0.069,0.04,0.064136043,0
157,0.767,-0.327,-2.594,0.038,0.143,0.1,0.058,0.064136043,0
158,3.777,-1.016,-1.275,0.031,0.039,0.044,0.046,0.064136043,0
159,1.495,0.394,-0.979,-0.008,0.069,-0.036,0.045,0.064136043,0
160,1.229,2.749,4.148,0.057,0.082,0.072,0.049,0.064136043,0
161,0.631,3.505,2.426,0.094,-0.039,0.154,0.039,0.064136043,0
162,2.875,1.883,-0.38,0.065,-0.046,-0.053,0.041,0.064136043,0
163,0.737,3.002,-2.624,-0.013,0.079,-0.037,0.053,0.064136043,0
164,4.566,1.816,-1.176,-0.026,0.093,0.086,0.051,0.064136043,0
165,3.564,3.832,-1.582,-0.013,-0.039,-0.054,0.052,0.064136043,0
166,3.038,8.091,4.655,0.133,0.069,0.112,0.048,0.064136043,0
167,2.97,-0.395,1.703,-0.019,-0.071,-0.046,0.041,0.064136043,0
168,2.329,1.623,1.195,-0.051,-0.055,-0.064,0.04,0.064136043,0
169,2.155,3.138,-1.834,0,0.066,0.005,0.051,0.064136043,0
170,1.858,-0.485,-3.103,0.019,0.057,0.04,0.046,0.064136043,0
171,3.631,2.144,-3.877,0.067,-0.052,0.032,0.048,0.064136043,0
172,3.457,5.704,-0.336,0.084,0.007,-0.004,0.04,0.064136043,0
173,2.012,4.037,3.384,0.082,0.077,0.079,0.041,0.064136043,0
174,-0.103,2.981,2.652,-0.08,-0.044,-0.089,0.044,0.064136043,0
175,1.828,0.138,-1.002,-0.041,0.027,-0.002,0.037,0.064136043,0
176,-1.423,1.773,-2.196,-0.028,0.019,-0.011,0.044,0.064136043,0
177,0.819,0.062,-1.903,-0.023,-0.075,-0.069,0.054,0.064136043,0
178,-0.062,2.144,-0.154,-0.027,-0.13,-0.103,0.054,0.064136043,0
179,0.925,2.324,2.334,-0.003,-0.067,-0.082,0.048,0.064136043,0
180,-1.627,2.842,2.917,0.034,-0.118,-0.037,0.048,0.064136043,0
181,-0.475,0.493,-0.236,-0.017,-0.047,-0.048,0.05,0.064136043,0
182,0.295,2.23,-2.591,0.019,0.088,0.016,0.053,0.064136043,0
183,1.892,2.183,-0.574,-0.054,0.048,0.034,0.055,0.064136043,0
184,2.385,1.131,-0.059,0.011,0.021,0.035,0.058,0.064136043,0
185,2.457,5.386,2.314,-0.007,0.073,-0.026,0.049,0.064136043,0
186,0.779,-1.882,2.977,0.043,-0.057,0.017,0.052,0.064136043,0
187,0.541,-0.169,1.624,-0.08,-0.233,-0.135,0.043,0.064136043,0
188,1.301,1.269,0.022,-0.002,-0.054,-0.041,0.057,0.064136043,0
189,2.36,0.365,-1.885,0.005,0.062,0.091,0.048,0.064136043,0
190,2.096,1.395,-1.862,-0.053,-0.006,-0.039,0.04,0.064136043,0
191,3.06,2.795,2.171,-0.018,0.014,-0.025,0.049,0.064136043,0
192,-0.042,3.146,2.436,0.073,0.042,-0.017,0.046,0.064136043,0
193,1.015,2.379,3.726,0.055,-0.043,0.086,0.04,0.064136043,0
194,0.699,2.408,1.517,0.048,-0.016,0.059,0.045,0.064136043,0
195,0.088,2.575,0.563,0.017,0.08,0.029,0.049,0.064136043,0
196,0.066,0.21,-0.712,-0.01,0.053,0.009,0.039,0.064136043,0
197,1.579,1.39,0.106,-0.002,-0.009,-0.002,0.063,0.064136043,0
198,-0.003,1.352,2.556,0.066,-0.008,-0.003,0.055,0.064136043,0
199,-0.099,0.72,3.47,-0.031,-0.034,-0.053,0.068,0.064136043,0
200,1.497,0.442,0.169,-0.138,-0.063,-0.085,0.072,0.064136043,0
201,3.536,4.31,-0.427,-0.037,0.098,-0.025,0.084,0.064136043,0
202,1.828,4.238,0.273,0.006,0.089,0.041,0.092,0.064136043,0
203,2.955,1.969,1.743,0.036,0.041,0.031,0.112,0.064136043,0
204,3.207,3.396,2.647,0.061,0.052,0.066,0.112,0.064136043,0
205,2.098,-0.852,2.945,0.011,0.02,0.027,0.073,0.064136043,0
206,-0.031,-1.071,0.361,-0.113,-0.124,-0.132,-0.005,0.065365273,0
207,3.091,5.615,-1.787,-0.162,-0.098,-0.271,0.145,0.065365273,0
208,1.179,0.34,-2.237,-0.057,-0.045,0.06,0.14,0.065365273,0
209,1.647,-5.46,-5.275,0.089,-0.15,0.086,0.118,0.065365273,0
210,2.446,6.866,1.308,0.001,0.028,-0.172,0.1,0.065365273,0
211,3.246,1.003,6.061,-0.18,0.04,-0.194,0.113,0.065365273,0
212,1.875,-1.806,5.737,-0.201,-0.157,-0.026,0.089,0.065365273,0
213,3.574,3.62,-0.891,-0.111,0.07,-0.121,0.083,0.065365273,0
214,3.584,6.52,-2.31,-0.071,0.054,0.041,0.061,0.065365273,0
215,7.879,-1.783,-1.94,-0.001,-0.152,0.047,0.067,0.065365273,0
216,4.1,7.903,-0.649,0.034,-0.082,-0.25,0.058,0.065365273,0
217,5.096,11.871,5.199,-0.202,0.005,-0.225,0.05,0.065365273,0
218,0.856,-0.537,6.294,-0.009,-0.175,0.038,0.046,0.065365273,0
219,-0.398,0.786,0.57,-0.009,-0.077,-0.031,0.045,0.065365273,0
220,2.733,4.768,-1.961,-0.116,0,-0.176,0.057,0.065365273,0
221,5.616,-0.764,-2.439,-0.007,-0.008,-0.013,0.052,0.065365273,0
222,4.096,3.934,-2.709,-0.114,-0.167,-0.261,0.058,0.065365273,0
223,2.549,13.47,2.01,-0.051,-0.037,-0.187,0.057,0.065365273,0
224,1.949,-2.549,5.873,-0.061,-0.053,-0.016,0.066,0.065365273,0
225,-1.209,0.951,2.999,-0.13,-0.072,0.045,0.084,0.065365273,0
226,2.86,4.153,-1.653,-0.068,0.006,-0.13,0.081,0.065365273,0
227,0.228,1.958,-3.787,-0.094,0.028,-0.024,0.074,0.065365273,0
228,3.205,-6.314,-2.933,0.015,-0.156,0.012,0.067,0.065365273,0
229,0.729,3.662,-1.185,0.069,-0.126,-0.272,0.109,0.065365273,0
230,1.755,1.924,5.039,-0.032,0.071,0.065,0.081,0.065365273,0
231,0.168,-1.228,4.506,-0.028,-0.102,0.167,0.085,0.065365273,0
232,3.287,2.811,-1.444,0.112,0.041,-0.045,0.065,0.065365273,0
233,1.055,10.299,-4.071,0.052,0.186,0.07,0.082,0.065365273,0
234,7.376,-2.236,-1.909,-0.027,-0.06,0.05,0.079,0.065365273,0
235,3.57,3.449,-1.375,0.005,-0.062,-0.13,0.09,0.065365273,0
236,4.621,12.639,4.099,-0.049,0.07,0.062,0.089,0.065365273,0
237,1.241,-2.094,4.986,0.067,-0.009,0.112,0.084,0.065365273,0
238,0.714,1.136,2.374,-0.033,-0.147,-0.124,0.08,0.065365273,0
239,2.293,4.219,-2.356,0.028,0.011,-0.069,0.097,0.065365273,0
240,4.083,1.19,-3.09,-0.002,0.011,0.027,0.079,0.065365273,0
241,4.41,2.031,-2.434,0.068,0.015,0.056,0.09,0.065365273,0
242,2.275,11.248,1.552,0.036,0.151,0.056,0.093,0.065365273,0
243,1.508,-1.815,7.031,0.074,0.056,0.112,0.078,0.065365273,0
244,1.268,0.399,4.507,0.03,-0.029,0.055,0.088,0.065365273,0
245,1.908,3.246,1.484,-0.01,-0.023,-0.084,0.082,0.065365273,0
246,0.008,-0.406,-2.103,-0.021,0.006,0.027,0.09,0.065365273,0
247,4.007,-4.251,-4.038,-0.041,-0.127,0.017,0.091,0.065365273,0
248,2.051,4.465,1.39,-0.023,-0.045,0.016,0.077,0.065365273,0
249,1.358,2.807,4.973,0.044,0.102,0.109,0.093,0.065365273,0
250,-0.512,-0.745,6.246,-0.025,-0.085,0.027,0.082,0.065365273,0
251,2.254,2.289,0.19,-0.01,-0.046,-0.145,0.086,0.065365273,0
252,1.152,7.016,-1.287,-0.019,0.066,-0.041,0.093,0.065365273,0
253,5.907,-1.158,0.185,-0.006,-0.054,0.097,0.1,0.065365273,0
254,5.34,5.398,-1.433,0.03,-0.029,-0.003,0.092,0.065365273,0
255,4.799,13.082,5.35,-0.012,0.052,0.033,0.096,0.065365273,0
256,1.706,-2.947,7.007,0.012,-0.073,-0.042,0.079,0.065365273,0
257,1.915,1.35,2.8,-0.189,-0.142,-0.173,0.102,0.065365273,0
258,4.451,2.383,1.06,-0.042,0.004,-0.068,0.108,0.065365273,0
259,3.285,0.272,-1.855,0.013,-0.004,0.087,0.086,0.065365273,0
260,4.482,0.902,-3.583,0.033,-0.109,0,0.089,0.065365273,0
261,4.327,6.506,2.05,-0.066,-0.011,-0.076,0.081,0.065365273,0
262,1.138,2.201,7.576,-0.065,0.038,-0.024,0.08,0.065365273,0
263,0.512,3.28,5.871,-0.049,-0.046,0.024,0.082,0.065365273,0
264,2.742,2.426,0.974,0.042,-0.074,-0.037,0.073,0.065365273,0
265,-0.417,-0.666,-1.33,-0.032,0.018,-0.025,0.08,0.065365273,0
266,3.052,-3.276,-3.337,-0.012,-0.047,-0.037,0.075,0.065365273,0
267,2.455,2.125,-0.731,-0.158,-0.142,-0.214,0.089,0.065365273,0
268,1.667,6.518,4.138,-0.106,-0.036,-0.1,0.073,0.065365273,0
269,0.188,0.239,5.805,-0.06,-0.116,0.043,0.077,0.065365273,0
270,0.208,4.282,1.948,-0.02,-0.12,-0.062,0.075,0.065365273,0
271,1.151,8.443,-0.241,0.051,0.068,-0.014,0.077,0.065365273,0
272,3.152,1.794,-1.369,0.046,-0.01,0.048,0.077,0.065365273,0
273,4.59,0.45,-2.803,0.083,-0.025,-0.082,0.082,0.065365273,0
274,3.809,11.711,3.841,-0.074,0.003,-0.023,0.074,0.065365273,0
275,2.508,-2.11,5.269,0.012,0.108,0.106,0.079,0.065365273,0
276,2.032,-0.584,2.285,-0.102,-0.041,0.015,0.078,0.065365273,0
277,5.413,0.729,-0.529,-0.063,0.066,-0.033,0.075,0.065365273,0
278,3.838,2.705,-5.521,-0.025,0.032,0.021,0.079,0.065365273,0
279,6.399,1.086,-4.597,0.076,-0.055,-0.042,0.073,0.065365273,0
280,4.321,7.672,1.09,0.038,-0.035,-0.048,0.069,0.065365273,0
281,1.792,4.318,5.787,-0.003,0.002,0.011,0.072,0.065365273,0
282,0.21,5.852,5.194,0.035,-0.068,0.119,0.072,0.065365273,0
283,1.843,1.931,0.188,-0.048,-0.056,-0.074,0.07,0.065365273,0
284,-0.252,1.519,-2.124,-0.055,0.027,-0.079,0.068,0.065365273,0
285,2.6,-0.131,-4.579,-0.039,-0.037,-0.055,0.068,0.065365273,0
286,1.647,3.669,0.581,0.044,-0.095,0.017,0.071,0.065365273,0
287,1.774,4.914,4.666,-0.084,-0.051,-0.015,0.074,0.065365273,0
288,-0.52,-0.91,5.967,-0.061,-0.022,-0.021,0.077,0.065365273,0
289,0.627,-0.851,-1.096,-0.198,-0.124,-0.19,0.1,0.065365273,0
290,3.246,3.574,-4.245,-0.184,-0.065,-0.203,0.079,0.065365273,0
291,3.323,5.221,-1.396,-0.105,-0.149,-0.062,0.085,0.065365273,0
292,4.592,3.568,1.824,0.069,-0.134,0.021,0.083,0.065365273,0
293,4.692,9.492,4.769,-0.002,-0.004,0.012,0.086,0.065365273,0
294,2.919,-0.287,4.471,-0.038,-0.118,-0.067,0.082,0.065365273,0
295,1.796,-1.277,1.533,-0.215,-0.154,-0.225,0.079,0.065365273,0
296,3.813,0.635,0.325,-0.063,0.059,-0.035,0.089,0.065365273,0
297,2.759,4.058,-3.029,-0.07,0.094,0.059,0.084,0.065365273,0
298,4.323,1.352,-2.613,-0.027,-0.011,0.032,0.074,0.065365273,0
299,4.48,6.976,1.309,0.091,0.055,0.06,0.073,0.065365273,0
300,2.191,7.597,3.972,0.029,-0.106,-0.028,0.069,0.065365273,0
301,0.617,5.107,3.378,0.035,-0.168,-0.157,0.061,0.065365273,0
302,0.285,1.963,2.581,0.034,-0.086,-0.022,0.057,0.065365273,0
303,0.036,4.004,-0.891,-0.015,-0.01,0.056,0.071,0.065365273,0
304,0.659,2.179,-2.153,0.003,0.036,0.033,0.062,0.065365273,0
305,2.233,1.574,0.813,0.017,0.101,0.056,0.075,0.065365273,0
306,0.855,-0.474,3.407,0.117,0.11,0.083,0.112,0.065365273,0
307,-0.391,0.184,4.449,-0.063,0,-0.036,0.115,0.065365273,0
308,-0.054,3.084,1.577,-0.019,-0.041,-0.016,0.105,0.065365273,0
309,3.008,2.913,0.329,0.112,-0.016,0.046,0.117,0.065365273,0
310,2.188,3.648,-0.413,0.113,0.089,0.157,0.119,0.065365273,0
311,5.55,1.725,1.142,0.082,0.038,0.008,0.151,0.065365273,0
312,5.411,6.151,2.977,0.001,0.182,0.027,0.154,0.065365273,0
313,2.46,3.726,6.804,0.003,0.113,0.13,0.148,0.065365273,0
314,0.737,0.6,4.297,0.001,-0.089,0.101,0.173,0.065365273,0
315,1.214,1.656,0.272,0.073,0.064,0.084,0,0.065365273,0
316,0.926,0.295,0.979,-0.096,-0.076,-0.116,-0.005,0.06648688,0
317,3.096,15.616,2.776,-0.101,0.019,-0.077,0.154,0.06648688,0
318,2.952,-1.391,9.015,-0.195,-0.146,-0.432,0.174,0.06648688,0
319,1.115,-1.616,6.1,-0.133,-0.219,-0.049,0.145,0.06648688,0
320,3.234,4.691,-0.585,-0.232,-0.132,-0.302,0.139,0.06648688,0
321,0.603,4.813,-1.89,-0.254,0.067,-0.118,0.152,0.06648688,0
322,5.458,-8.542,-3.307,-0.09,-0.245,-0.04,0.125,0.06648688,0
323,0.796,3.897,-0.639,-0.131,-0.234,-0.392,0.104,0.06648688,0
324,3.06,10.424,6.7,-0.145,-0.083,-0.265,0.1,0.06648688,0
325,0.818,-2.727,8.162,-0.033,-0.16,0.1,0.091,0.06648688,0
326,-0.502,3.395,0.445,-0.075,-0.257,-0.302,0.075,0.06648688,0
327,1.921,12.244,-4.114,-0.06,0.048,-0.186,0.078,0.06648688,0
328,6.509,0.199,-2.139,-0.168,-0.132,0.023,0.073,0.06648688,0
329,4.045,2.578,-1.67,0.083,-0.122,-0.063,0.069,0.06648688,0
330,5.567,16.735,3.827,-0.139,0.13,-0.12,0.067,0.06648688,0
331,3.325,-5.479,6.119,-0.025,-0.008,0.029,0.062,0.06648688,0
332,1.267,-2.468,3.352,-0.046,-0.091,0.048,0.072,0.06648688,0
333,5.073,4.599,-3.23,-0.024,0.044,-0.135,0.071,0.06648688,0
334,6.084,0.12,-2.793,-0.104,0.045,0.064,0.075,0.06648688,0
335,6.429,-0.165,-3.293,-0.088,-0.133,-0.085,0.074,0.06648688,0
336,3.322,13.957,0.26,-0.028,-0.093,-0.266,0.071,0.06648688,0
337,4.07,3.671,7.345,-0.034,-0.03,-0.14,0.082,0.06648688,0
338,2.195,0.141,6.276,0,-0.101,0.088,0.08,0.06648688,0
339,1.347,4.598,0.632,-0.025,-0.066,-0.108,0.102,0.06648688,0
340,-0.305,3.673,-3.471,-0.114,0.091,-0.126,0.099,0.06648688,0
341,4.157,-5.031,-2.786,-0.045,-0.093,0.049,0.114,0.06648688,0
342,1.683,0.769,-1.059,-0.045,-0.139,-0.223,0.093,0.06648688,0
