time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
109,3.338,1.279,-0.928,-0.085,-0.121,-0.116,0.043,0.049570815,0
110,3.448,5.448,-1.371,-0.038,-0.068,-0.021,0.043,0.049570815,0
111,5.312,1.16,0.788,-0.13,-0.116,-0.047,0.034,0.049570815,0
112,4.627,5.705,1.281,-0.123,-0.072,-0.099,0.043,0.049570815,0
113,3.403,9.106,-0.357,-0.041,-0.06,-0.116,0.048,0.049570815,0
114,3.002,0.777,3.967,0.074,-0.097,-0.043,0.039,0.049570815,0
115,2.559,-0.975,2.434,-0.026,-0.035,-0.005,0.04,0.049570815,0
116,-0.109,-1.251,-1.217,-0.072,-0.043,-0.044,0.037,0.049570815,0
117,0.215,-2.638,-0.377,0.048,0.054,0.01,0.045,0.049570815,0
118,0.157,3.376,-2.685,-0.052,-0.065,-0.103,0.043,0.049570815,0
119,1.224,2.077,-3.048,0.021,-0.017,0.004,0.036,0.049570815,0
120,-0.84,2.217,0.407,-0.029,-0.073,-0.023,0.042,0.049570815,0
121,0.205,1.226,1.289,-0.068,-0.067,-0.05,0.043,0.049570815,0
122,0.247,2.167,0.283,-0.051,-0.07,-0.062,0.044,0.049570815,0
123,-2.145,-1.186,-2.047,-0.12,-0.144,-0.159,0.041,0.049570815,0
124,0.79,-2.813,0.172,-0.052,-0.118,-0.064,0.041,0.049570815,0
125,0.534,1.936,-0.966,-0.082,-0.125,-0.047,0.039,0.049570815,0
126,0.132,0.553,1.634,0.071,0.056,0.078,0.041,0.049570815,0
127,0.251,-2.96,1.494,-0.029,0.011,-0.065,0.038,0.049570815,0
128,2.571,0.951,-0.91,-0.011,-0.011,-0.062,0.047,0.049570815,0
129,1.772,5.011,-1.279,0.012,-0.02,0.01,0.035,0.049570815,0
130,5.148,1.242,-0.83,-0.138,-0.119,-0.06,0.032,0.049570815,0
131,4.735,4.81,-0.755,-0.048,-0.026,0.009,0.031,0.049570815,0
132,3.715,8.714,1.175,-0.074,-0.103,-0.112,0.026,0.049570815,0
133,1.625,-0.64,4.638,0.01,-0.058,-0.07,0.028,0.049570815,0
134,1.273,-0.506,0.965,-0.116,-0.054,-0.097,0.022,0.049570815,0
135,1.023,-1.768,0.326,-0.008,-0.005,0.015,0.036,0.049570815,0
136,1.186,-1.923,-2.612,-0.037,-0.035,-0.028,0.027,0.049570815,0
137,-0.174,1.37,-0.413,-0.018,-0.033,-0.034,0.038,0.049570815,0
138,0.097,1.682,-0.541,0.036,-0.013,0.008,0.032,0.049570815,0
139,-0.029,3.342,1.234,-0.041,-0.104,-0.042,0.037,0.049570815,0
140,0.068,5.13,0.981,0.016,-0.077,0.014,0.035,0.049570815,0
141,-1.031,2.59,0.999,-0.074,-0.111,-0.074,0.04,0.049570815,0
142,-3.258,-1.865,-1.895,-0.098,-0.083,-0.096,0.04,0.049570815,0
143,-0.334,-2.542,-1.782,-0.065,-0.076,-0.066,0.041,0.049570815,0
144,0.275,-0.208,-0.16,-0.051,-0.056,-0.045,0.037,0.049570815,0
145,-0.538,1.35,-1.086,-0.017,0.013,-0.015,0.044,0.049570815,0
146,-0.206,-1.199,0.643,-0.12,-0.049,-0.138,0.031,0.049570815,0
147,0.812,1.533,-0.301,-0.008,-0.012,-0.072,0.033,0.049570815,0
148,1.545,4.959,-2.07,-0.003,-0.035,-0.025,0.035,0.049570815,0
149,3.963,3.651,1.974,-0.039,-0.067,0.014,0.036,0.049570815,0
150,4.449,4.562,2.249,-0.061,-0.055,-0.006,0.034,0.049570815,0
151,2.576,10.376,2.942,-0.023,-0.053,-0.06,0.028,0.049570815,0
152,1.161,-1.1,1.246,-0.035,-0.032,-0.059,0.027,0.049570815,0
153,1.83,-0.352,-2.858,-0.19,-0.08,-0.146,0.027,0.049570815,0
154,0.924,-0.74,-2.171,-0.025,-0.022,-0.011,0.034,0.049570815,0
155,-0.291,-0.586,-0.97,0.004,-0.006,0.002,0.033,0.049570815,0
156,1.275,1.339,-0.802,0.037,0.027,0.034,0.029,0.049570815,0
157,1.236,-0.298,-0.129,0.079,0.051,0.095,0.026,0.049570815,0
158,-0.507,0.949,0.784,0.132,0.082,0.146,0.03,0.049570815,0
159,-1.258,4.575,2.633,0.107,0.018,0.059,0.029,0.049570815,0
160,-0.939,2.027,0.77,0.034,0.027,0.015,0.034,0.049570815,0
161,-1.213,3.831,2.205,0.042,0.044,0.043,0.029,0.049570815,0
162,-0.422,1.258,0.074,-0.024,-0.016,-0.016,0.04,0.049570815,0
163,0.034,0.509,1.622,0.061,0.066,0.085,0.036,0.049570815,0
164,0.175,1.437,0.121,0.096,0.102,0.081,0.044,0.049570815,0
165,0.045,-0.487,2.192,0.118,0.095,0.066,0.056,0.049570815,0
166,1.747,2.379,-0.504,0.115,0.113,0.093,0.046,0.049570815,0
167,1.561,5.563,-0.666,0.05,0.05,0.04,0.059,0.049570815,0
168,3.482,3.757,2.233,0.061,0.026,0.057,0.049,0.049570815,0
169,5.208,5.812,0.917,0.001,-0.013,-0.022,0.074,0.049570815,0
170,3.85,9.115,2.794,0.075,0.102,0.06,0.066,0.049570815,0
171,1.102,-0.799,4.036,-0.084,-0.02,-0.069,0.074,0.049570815,0
172,1.437,-0.023,0.1,-0.007,-0.008,0.003,0.038,0.049570815,0
173,0.187,2.05,-1.026,-0.103,-0.116,-0.118,-0.005,0.050302867,0
174,6.818,1.245,1.552,0.042,-0.199,0.013,0.098,0.050302867,0
175,5.137,16.575,1.741,-0.083,-0.09,-0.068,0.094,0.050302867,0
176,1.807,-4.339,5.254,-0.105,-0.275,-0.163,0.077,0.050302867,0
177,3.128,-2.261,4.806,-0.141,-0.148,-0.128,0.065,0.050302867,0
178,4.613,1.615,0.692,-0.099,-0.083,0.059,0.062,0.050302867,0
179,-0.154,1.606,-3.521,-0.175,-0.098,-0.034,0.057,0.050302867,0
180,2.385,-1.656,-0.826,-0.011,0.079,-0.024,0.06,0.050302867,0
181,0.178,2.816,0.108,-0.042,-0.069,-0.168,0.063,0.050302867,0
182,0.465,8.45,-0.826,0.035,-0.083,-0.096,0.05,0.050302867,0
183,-2.856,3.302,4.244,0.014,-0.087,0.05,0.048,0.050302867,0
184,-0.923,4.788,3.559,-0.04,0.012,-0.059,0.04,0.050302867,0
185,-2.394,9.542,-1.68,-0.128,-0.078,-0.231,0.046,0.050302867,0
186,-0.575,-5.305,1.404,-0.048,-0.067,-0.199,0.04,0.050302867,0
187,0.899,-3.504,0.396,-0.054,0.006,-0.012,0.048,0.050302867,0
188,2.476,7.009,-1.192,-0.12,-0.079,-0.079,0.052,0.050302867,0
189,-0.217,-7.862,4.072,-0.042,0.074,-0.033,0.043,0.050302867,0
190,0.976,0.109,3.239,-0.154,0.013,-0.195,0.039,0.050302867,0
191,5.062,8.659,-1.038,-0.059,-0.032,-0.084,0.05,0.050302867,0
192,2.725,5.955,-1.408,0.003,-0.172,-0.036,0.051,0.050302867,0
193,7.561,3.902,2.42,0.141,-0.09,0.131,0.056,0.050302867,0
194,4.598,16.814,2.319,0.001,-0.069,0.041,0.056,0.050302867,0
195,2.036,-2.095,5.53,0.037,-0.113,-0.108,0.057,0.050302867,0
196,1.237,-0.916,4.905,-0.107,-0.064,-0.205,0.054,0.050302867,0
197,2.891,-0.272,1.228,-0.1,-0.134,-0.039,0.051,0.050302867,0
198,0.82,1.649,-3.156,-0.138,-0.025,0.039,0.051,0.050302867,0
199,3.899,-1.19,-0.91,-0.111,0.038,-0.007,0.061,0.050302867,0
200,-1.278,2.954,0.778,-0.102,-0.094,-0.215,0.058,0.050302867,0
201,-1.775,10.459,0.175,0.152,0.005,-0.043,0.069,0.050302867,0
202,-1.72,4.68,6.159,0.17,-0.015,0.058,0.079,0.050302867,0
203,0.105,3.047,2.589,-0.023,0.021,-0.038,0.083,0.050302867,0
204,-3.799,8.972,0.119,-0.041,0.054,-0.06,0.072,0.050302867,0
205,-2.775,-4.709,1.34,-0.013,-0.026,-0.12,0.061,0.050302867,0
206,1.452,-3.036,0.83,-0.051,-0.026,-0.039,0.066,0.050302867,0
207,1.473,7.477,-1.471,-0.064,-0.043,-0.059,0.079,0.050302867,0
208,-1.615,-6.175,5.432,0.086,0.144,0.033,0.075,0.050302867,0
209,0.926,1.896,2.978,-0.085,0.092,-0.125,0.089,0.050302867,0
210,3.696,7.813,-0.827,0.064,0.078,0.026,0.085,0.050302867,0
211,2.922,2.741,-1.157,0.156,-0.004,0.142,0.081,0.050302867,0
212,6.876,3.749,2.064,0.174,-0.017,0.189,0.067,0.050302867,0
213,5.484,16.195,3.162,0.073,0.044,0.121,0.066,0.050302867,0
214,1.226,-0.463,4.073,0.206,0.058,0.065,0.061,0.050302867,0
215,1.514,1.059,5.486,0.074,0.123,-0.016,0.055,0.050302867,0
216,4.099,3.322,1.331,-0.008,-0.056,0.008,0.064,0.050302867,0
217,-0.487,-1.511,-2.31,0.009,0.067,0.11,0.057,0.050302867,0
218,1.184,-2.031,-1.892,0.003,0.145,0.112,0.067,0.050302867,0
219,1.523,5.132,-0.181,0.037,0.11,0.062,0.062,0.050302867,0
220,-0.555,8.556,-0.928,0.118,0.042,-0.009,0.074,0.050302867,0
221,-1.434,5.367,5.902,0.212,0.154,0.112,0.073,0.050302867,0
222,-1.04,5.223,3.826,0.165,0.145,0.115,0.063,0.050302867,0
223,-2.041,9.03,-1.848,0.101,0.193,0.065,0.076,0.050302867,0
224,-2.544,-1.829,0.003,0.142,0.172,0.036,0.076,0.050302867,0
225,1.661,-1.882,-0.687,0.138,0.097,0.07,0.099,0.050302867,0
226,1.014,6.018,0.289,0.029,0.048,0.07,0.088,0.050302867,0
227,-1.992,-6.534,3.421,0.052,0.139,0.105,0.078,0.050302867,0
228,1.917,0.35,3.377,0.019,0.145,0.045,0.063,0.050302867,0
229,5.604,5.173,-1.579,0.078,0.058,0.042,0.073,0.050302867,0
230,2.444,5.667,-0.943,0.116,-0.022,0.087,0.081,0.050302867,0
231,6.449,4.001,-0.027,0.234,0.042,0.239,0.074,0.050302867,0
232,7.02,13.151,2.329,0.218,0.136,0.272,0.063,0.050302867,0
233,2.092,1.924,4.46,0.114,0.05,0.037,0.051,0.050302867,0
234,1.917,3.261,5.01,0.083,0.196,0.001,0.049,0.050302867,0
235,2.871,3.54,2.724,0,-0.02,0.03,0.065,0.050302867,0
236,-1.058,-3.026,-1.351,0.053,0.089,0.124,0.05,0.050302867,0
237,1.274,-0.806,-0.415,-0.039,0.073,0.043,0.054,0.050302867,0
238,2.152,5.067,-2.601,-0.078,-0.027,-0.062,0.057,0.050302867,0
239,-1.003,8.352,3.011,0.117,-0.034,-0.023,0.059,0.050302867,0
240,-1.928,5.241,3.623,0.131,0.049,0.047,0.065,0.050302867,0
241,0.179,5.631,4.823,0.087,0.065,0.039,0.053,0.050302867,0
242,-3.393,5.918,0.259,-0.031,0.017,-0.091,0.065,0.050302867,0
243,-1.068,-0.725,-1.191,0.055,0.097,-0.01,0.068,0.050302867,0
244,1.042,0.312,0.433,-0.023,-0.057,-0.087,0.068,0.050302867,0
245,1.829,6.774,1.78,-0.028,-0.01,-0.002,0.053,0.050302867,0
246,-0.453,-3.589,5.342,-0.097,0.002,-0.056,0.063,0.050302867,0
247,0.834,-0.77,3.22,-0.18,-0.085,-0.176,0.076,0.050302867,0
248,5.545,2.979,-0.653,-0.051,-0.073,-0.078,0.072,0.050302867,0
249,3.85,6.459,-2.396,-0.026,-0.086,-0.021,0.054,0.050302867,0
250,8.778,5.092,-1.412,0.005,-0.131,0.02,0.064,0.050302867,0
251,7.257,14.826,3.717,0.03,-0.077,0.024,0.055,0.050302867,0
252,1.773,6.392,7.423,0.044,0.098,0.042,0.055,0.050302867,0
253,2.697,2.806,5.792,-0.053,0.031,-0.109,0.071,0.050302867,0
254,2.882,2.1,1.156,0.002,-0.006,-0.035,0.059,0.050302867,0
255,0.099,-1.735,-3.669,-0.03,-0.012,-0.019,0.054,0.050302867,0
256,1.479,0.077,-1.104,-0.098,-0.039,-0.088,0.058,0.050302867,0
257,1.668,5.08,-0.239,-0.145,-0.077,-0.139,0.063,0.050302867,0
258,1.034,3.897,1.363,-0.068,-0.088,-0.106,0.059,0.050302867,0
259,-2.28,4.531,3.764,-0.028,0.003,-0.049,0.07,0.050302867,0
260,0.226,4.269,4.089,0.019,-0.017,-0.058,0.068,0.050302867,0
261,-1.68,5.728,1.194,-0.018,0.026,-0.051,0.064,0.050302867,0
262,-0.931,1.124,-0.064,-0.028,0.011,-0.05,0.063,0.050302867,0
263,1.664,-0.785,1.969,0.001,-0.018,-0.027,0.068,0.050302867,0
264,0.342,2.545,2.052,-0.014,0.028,0.012,0.067,0.050302867,0
265,-0.887,-4.63,3.905,-0.105,0.008,-0.065,0.063,0.050302867,0
266,2.426,-0.711,0.685,-0.099,-0.027,-0.102,0.061,0.050302867,0
267,5.505,4.375,0.432,-0.038,-0.075,-0.064,0.061,0.050302867,0
268,4.304,9.216,-2.305,-0.071,-0.132,-0.044,0.048,0.050302867,0
269,7.89,4.934,2.825,0.043,-0.071,0.069,0.056,0.050302867,0
270,7.172,10.401,4.779,-0.064,-0.106,-0.057,0.054,0.050302867,0
271,3.947,7.828,5.278,0.031,0.058,-0.014,0.056,0.050302867,0
272,1.905,1.989,5.097,0.04,0.037,-0.043,0.053,0.050302867,0
273,3.102,-0.019,2.052,-0.018,-0.028,-0.05,0.073,0.050302867,0
274,0.089,1.457,0.52,0.01,0.02,0.018,0.079,0.050302867,0
275,0.77,1.164,-0.271,-0.041,0.028,-0.026,0.075,0.050302867,0
276,1.156,6.047,-0.145,-0.024,0.024,-0.061,0.092,0.050302867,0
277,1.672,3.193,1.26,-0.063,-0.088,-0.133,0.119,0.050302867,0
278,-3.13,4.109,5.727,-0.043,-0.009,-0.021,0.114,0.050302867,0
279,0.17,4.695,4.271,-0.072,-0.047,-0.052,0.123,0.050302867,0
280,0.034,4.597,2.948,0.018,0.043,0.039,0.144,0.050302867,0
281,-1.43,2.187,-1.12,-0.014,0.015,-0.011,0.144,0.050302867,0
282,0.132,1.538,1.936,0.002,0.012,0.009,-0.002,0.050302867,0
283,-0.416,-1.037,0.359,0.006,-0.012,-0.021,-0.005,0.051083652,0
284,1.646,1.949,3.224,0.026,-0.041,0.015,0.146,0.051083652,0
285,-2.79,-5.326,5.593,0.123,0.028,-0.075,0.14,0.051083652,0
286,4.658,4.481,1.78,0.056,0.017,-0.057,0.121,0.051083652,0
287,4.455,9.756,-4.306,-0.046,-0.048,-0.019,0.11,0.051083652,0
288,9.26,0.801,2.917,0,0.049,0.16,0.106,0.051083652,0
289,6.752,10.263,3.044,-0.252,-0.18,-0.161,0.091,0.051083652,0
290,6.458,18.307,0.795,0.003,-0.138,-0.244,0.068,0.051083652,0
291,1.546,-3.079,10.513,-0.035,-0.12,-0.314,0.061,0.051083652,0
292,1.917,0.43,4.878,-0.211,-0.064,-0.204,0.064,0.051083652,0
293,1.508,2.015,-1.186,-0.195,-0.099,-0.07,0.048,0.051083652,0
294,-0.481,-1.181,-2.057,-0.084,-0.098,-0.15,0.051,0.051083652,0
295,0.8,-1.214,1.129,0.014,-0.101,-0.181,0.051,0.051083652,0
296,1.496,9.98,-0.214,-0.142,-0.199,-0.196,0.049,0.051083652,0
297,-0.498,2.568,5.083,-0.051,-0.13,-0.008,0.056,0.051083652,0
298,-0.689,-1.006,6.624,-0.186,-0.278,-0.138,0.056,0.051083652,0
299,1.566,8.699,-0.037,-0.154,-0.174,-0.165,0.059,0.051083652,0
300,-2.263,1.122,-0.526,-0.21,-0.24,-0.244,0.064,0.051083652,0
301,2.696,-11.91,2.629,-0.223,-0.309,-0.211,0.074,0.051083652,0
302,2.168,9.54,1.303,-0.249,-0.253,-0.124,0.071,0.051083652,0
303,1.367,3.386,2.161,-0.189,-0.252,-0.198,0.066,0.051083652,0
304,0.47,-3.834,7.783,-0.068,-0.082,-0.2,0.059,0.051083652,0
305,4.937,2.649,1.249,-0.207,-0.234,-0.345,0.071,0.051083652,0
306,3.869,8.584,-4.173,-0.111,-0.13,-0.148,0.072,0.051083652,0
307,10.253,0.974,2.219,-0.223,-0.203,-0.1,0.071,0.051083652,0
308,9.399,10.778,2.686,-0.234,-0.163,-0.13,0.074,0.051083652,0
309,4.394,19.564,-1.003,-0.199,-0.225,-0.289,0.065,0.051083652,0
310,1.922,-3.306,9.152,-0.25,-0.271,-0.427,0.062,0.051083652,0
311,3.042,-0.15,5.235,-0.4,-0.186,-0.36,0.064,0.051083652,0
312,3.958,-0.351,0.085,-0.298,-0.253,-0.211,0.079,0.051083652,0
313,-0.563,-3.83,-2.275,-0.214,-0.193,-0.201,0.065,0.051083652,0
314,2.04,0.145,1.448,-0.151,-0.27,-0.195,0.086,0.051083652,0
315,1.039,6.273,2.081,-0.186,-0.331,-0.239,0.074,0.051083652,0
316,-0.757,3.266,3.044,-0.109,-0.249,-0.109,0.086,0.051083652,0
317,0.289,2.541,9.387,-0.173,-0.247,-0.146,0.078,0.051083652,0
318,1.156,6.587,0.516,-0.15,-0.165,-0.159,0.089,0.051083652,0
319,-3.862,2.687,-0.432,-0.214,-0.277,-0.3,0.078,0.051083652,0
320,2.955,-8.348,2.017,-0.188,-0.272,-0.221,0.077,0.051083652,0
321,2.442,4.193,-0.013,-0.203,-0.204,-0.106,0.081,0.051083652,0
322,-0.429,1.832,2.354,-0.259,-0.182,-0.162,0.077,0.051083652,0
323,-1.392,-3.213,7.53,-0.205,-0.103,-0.24,0.076,0.051083652,0
324,5.485,4.256,1.865,-0.162,-0.187,-0.278,0.092,0.051083652,0
325,3.898,11.031,-1.336,0.011,-0.028,-0.042,0.076,0.051083652,0
326,8.89,1.46,2.554,-0.111,-0.13,-0.017,0.081,0.051083652,0
327,8.157,8.937,4.434,-0.094,-0.025,0.014,0.072,0.051083652,0
328,5.047,18.055,4.133,-0.091,-0.127,-0.201,0.068,0.051083652,0
329,1.783,-4.819,9.945,-0.079,-0.044,-0.228,0.062,0.051083652,0
330,2.866,-0.053,4.611,-0.224,0.007,-0.159,0.066,0.051083652,0
331,2.245,1.203,1.729,-0.152,-0.119,-0.071,0.075,0.051083652,0
332,-0.382,-2.26,-1.423,-0.038,-0.017,0.001,0.073,0.051083652,0
333,2.375,2.544,-0.571,-0.079,-0.141,-0.117,0.075,0.051083652,0
334,2.996,4.378,2.422,0.015,-0.096,-0.015,0.077,0.051083652,0
335,-1.86,2.346,4.572,0.001,-0.144,0.002,0.067,0.051083652,0
336,-0.334,4.006,8.435,0.004,-0.037,0.041,0.081,0.051083652,0
337,2.49,5.385,1.181,0.053,0.022,0.058,0.088,0.051083652,0
338,-3.865,1.162,3.036,0.043,0.006,-0.028,0.079,0.051083652,0
